,name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
0,"Boston, MA, United States",2025-01-06,-3.8,-7.8,-5.8,-8.7,-16.2,-12.7,-14.1,51.9,0.0,0,0.0,,0,0,46.4,31.1,297.0,1008.5,62.6,16.0,564.5,48.9,8,10,2025-01-06T07:13:30,2025-01-06T16:27:21,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,AV085,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
1,"Boston, MA, United States",2025-01-07,-3.2,-8.9,-6.1,-11.3,-18.8,-14.6,-15.0,49.6,0.0,0,0.0,,0,0,71.1,39.9,302.4,1002.4,41.5,16.0,471.9,40.7,7,10,2025-01-07T07:13:21,2025-01-07T16:28:22,0.28,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,AV085,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
2,"Boston, MA, United States",2025-01-08,-1.2,-7.8,-4.6,-8.7,-17.4,-12.8,-14.6,46.4,0.0,0,0.0,,0,0,70.4,47.8,286.3,1003.1,23.4,16.0,375.7,32.8,6,10,2025-01-08T07:13:10,2025-01-08T16:29:25,0.31,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,AV085,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
3,"Boston, MA, United States",2025-01-09,-2.2,-8.3,-5.4,-10.5,-16.9,-14.2,-14.1,50.3,0.0,0,0.0,,0,0,71.5,44.2,306.1,1000.1,69.1,15.7,358.0,30.8,6,10,2025-01-09T07:12:56,2025-01-09T16:30:29,0.35,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,AV085,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
4,"Boston, MA, United States",2025-01-10,5.7,-4.4,-0.3,1.7,-12.3,-5.6,-9.5,50.8,0.0,0,0.0,,0,0,56.8,33.1,308.1,1007.6,26.7,16.0,607.0,52.7,8,10,2025-01-10T07:12:40,2025-01-10T16:31:34,0.38,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,AV085,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
5,"Boston, MA, United States",2025-01-11,0.6,-2.8,-1.2,0.6,-8.8,-5.3,-4.7,77.7,3.258,100,37.5,"rain,snow",0,0,37.1,22.0,334.1,1001.1,95.9,10.2,589.6,51.0,9,10,2025-01-11T07:12:22,2025-01-11T16:32:40,0.42,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow in the morning and afternoon.,rain,"KOWD,AV085,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
6,"Boston, MA, United States",2025-01-12,2.9,-4.0,-0.9,0.0,-11.2,-5.6,-8.1,59.2,0.0,0,0.0,,0,0,44.6,27.4,307.4,1012.1,29.5,16.0,384.6,33.2,9,10,2025-01-12T07:12:01,2025-01-12T16:33:47,0.46,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,AV085,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
7,"Boston, MA, United States",2025-01-13,3.9,-2.3,1.4,1.1,-6.3,-1.6,-5.8,59.3,0.0,0,0.0,,0,0,38.9,23.9,261.5,1012.6,75.1,16.0,455.4,39.3,7,10,2025-01-13T07:11:38,2025-01-13T16:34:56,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,AV085,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
