,datetime,description,icon
0,2025-01-06,Partly cloudy throughout the day.,partly-cloudy-day
1,2025-01-07,Partly cloudy throughout the day.,partly-cloudy-day
2,2025-01-08,Partly cloudy throughout the day.,partly-cloudy-day
3,2025-01-09,Partly cloudy throughout the day.,partly-cloudy-day
4,2025-01-10,Partly cloudy throughout the day.,partly-cloudy-day
5,2025-01-11,Cloudy skies throughout the day with rain or snow in the morning and afternoon.,rain
6,2025-01-12,Partly cloudy throughout the day.,partly-cloudy-day
7,2025-01-13,Partly cloudy throughout the day.,partly-cloudy-day
