,datetime,tempmin,temp,tempmax
0,2025-01-06,-7.8,-5.8,-3.8
1,2025-01-07,-8.9,-6.1,-3.2
2,2025-01-08,-7.8,-4.6,-1.2
3,2025-01-09,-8.3,-5.4,-2.2
4,2025-01-10,-4.4,-0.3,5.7
5,2025-01-11,-2.8,-1.2,0.6
6,2025-01-12,-4.0,-0.9,2.9
7,2025-01-13,-2.3,1.4,3.9
