,datetime,description,icon
0,2024-12-09,Partly cloudy throughout the day with rain.,rain
1,2024-12-10,Cloudy skies throughout the day with early morning snow or rain.,rain
2,2024-12-11,Cloudy skies throughout the day with a chance of rain throughout the day.,rain
3,2024-12-12,Partly cloudy throughout the day with early morning rain.,rain
4,2024-12-13,Clearing in the afternoon.,partly-cloudy-day
5,2024-12-14,Clear conditions throughout the day.,clear-day
6,2024-12-15,Partly cloudy throughout the day.,partly-cloudy-day
7,2024-12-16,Cloudy skies throughout the day.,cloudy
