,name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
0,"Boston, MA, United States",2024-12-09,7.8,2.7,5.7,5.9,1.2,2.9,2.3,79.3,8.514,100,33.33,rain,0,0,44.7,29.0,79.5,1017.5,76.0,13.9,33.9,2.9,2,,2024-12-09T07:02:13,2024-12-09T16:11:30,0.3,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"KOWD,AV085,72509854704,KBED,KBOS,72509014739,72505914702"
1,"Boston, MA, United States",2024-12-10,6.7,0.0,1.6,2.2,-5.9,-2.3,1.2,97.5,2.076,100,25.0,"rain,snow",0,0,49.6,31.2,5.4,1020.5,100.0,4.2,9.3,0.6,0,,2024-12-10T07:03:05,2024-12-10T16:11:33,0.33,"Snow, Rain, Overcast",Cloudy skies throughout the day with early morning snow or rain.,rain,"KOWD,AV085,72509854704,KBED,KBOS,72509014739,72505914702"
2,"Boston, MA, United States",2024-12-11,16.2,3.3,9.6,16.2,0.9,9.0,9.2,97.3,66.661,100,91.67,rain,0,0,128.2,49.3,196.7,1006.7,100.0,4.3,6.0,0.5,1,,2024-12-11T07:03:54,2024-12-11T16:11:40,0.37,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"KOWD,AV085,72509854704,KBED,KBOS,72509014739,72505914702"
3,"Boston, MA, United States",2024-12-12,12.3,-1.2,4.2,12.3,-7.2,-0.6,-4.4,55.6,1.949,100,12.5,rain,0,0,69.7,44.2,262.2,1013.6,42.7,15.6,52.8,4.7,4,,2024-12-12T07:04:43,2024-12-12T16:11:49,0.41,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"KOWD,AV085,72509854704,KBED,KBOS,72509014739,72505914702"
4,"Boston, MA, United States",2024-12-13,0.7,-3.4,-1.4,-3.9,-8.8,-7.0,-13.0,41.2,0.0,0,0.0,,0,0,46.4,31.4,286.2,1035.1,31.1,16.0,53.7,4.7,3,,2024-12-13T07:05:29,2024-12-13T16:12:00,0.44,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"KOWD,AV085,72509854704,KBED,KBOS,72509014739,72505914702"
5,"Boston, MA, United States",2024-12-14,1.7,-5.1,-2.2,-1.5,-11.0,-6.6,-12.1,47.3,0.0,0,0.0,,0,0,30.2,18.3,311.2,1045.8,8.5,16.0,53.4,4.7,4,,2024-12-14T07:06:14,2024-12-14T16:12:13,0.48,Clear,Clear conditions throughout the day.,clear-day,"KOWD,AV085,72509854704,KBED,KBOS,72509014739,72505914702"
6,"Boston, MA, United States",2024-12-15,1.7,-6.3,-1.7,0.2,-11.1,-5.0,-9.8,54.7,0.0,0,0.0,,0,0,18.0,16.0,270.9,1043.5,59.7,16.0,50.9,4.4,3,,2024-12-15T07:06:56,2024-12-15T16:12:29,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,AV085,72509854704,KBED,KBOS,72509014739,72505914702"
7,"Boston, MA, United States",2024-12-16,6.2,0.6,3.8,4.2,-2.3,1.1,0.0,76.7,0.0,0,0.0,,0,0,39.6,18.1,145.3,1032.6,95.6,15.8,24.2,2.0,1,,2024-12-16T07:07:37,2024-12-16T16:12:48,0.54,Overcast,Cloudy skies throughout the day.,cloudy,"KOWD,AV085,72509854704,KBED,KBOS,72509014739,72505914702"
