,datetime,tempmin,temp,tempmax
0,2024-12-30,7.2,11.3,13.9
1,2024-12-31,3.7,6.5,10.7
2,2025-01-01,4.4,7.1,8.4
3,2025-01-02,1.7,3.7,6.2
4,2025-01-03,-0.7,1.5,3.4
5,2025-01-04,-2.8,-1.7,-0.7
6,2025-01-05,-5.6,-1.5,1.2
7,2025-01-06,-7.8,-5.8,-3.8
