,name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
0,"Boston, MA, United States",2024-12-30,13.9,7.2,11.3,13.9,3.7,10.7,8.1,81.4,13.326,100,33.33,rain,0,0,53.3,29.0,190.4,1004.7,63.1,14.2,355.7,30.8,7,,2024-12-30T07:13:26,2024-12-30T16:20:56,0.0,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"KOWD,AV085,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
1,"Boston, MA, United States",2024-12-31,10.7,3.7,6.5,10.7,0.6,4.0,1.1,69.2,0.0,0,0.0,,0,0,35.3,23.5,209.9,1010.7,32.9,16.0,582.4,50.4,8,,2024-12-31T07:13:33,2024-12-31T16:21:46,0.03,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,AV085,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
2,"Boston, MA, United States",2025-01-01,8.4,4.4,7.1,6.5,-1.6,3.9,5.0,87.2,15.782,100,41.67,rain,0,0,62.6,41.8,302.7,998.3,97.5,11.0,460.4,39.7,9,,2025-01-01T07:13:39,2025-01-01T16:22:38,0.06,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"KOWD,AV085,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
3,"Boston, MA, United States",2025-01-02,6.2,1.7,3.7,0.7,-4.5,-2.1,-6.7,47.9,0.0,0,0.0,,0,0,91.6,54.7,264.6,1003.2,33.8,16.0,387.2,33.5,9,,2025-01-02T07:13:42,2025-01-02T16:23:31,0.1,Partially cloudy,Partly cloudy throughout the day.,wind,"KOWD,AV085,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
4,"Boston, MA, United States",2025-01-03,3.4,-0.7,1.5,-1.7,-6.8,-4.2,-9.2,45.1,0.0,0,0.0,,0,0,64.6,36.8,262.3,1005.9,35.1,16.0,479.5,41.6,9,,2025-01-03T07:13:42,2025-01-03T16:24:26,0.13,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,AV085,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
5,"Boston, MA, United States",2025-01-04,-0.7,-2.8,-1.7,-6.2,-9.6,-8.1,-11.7,46.6,0.0,0,0.0,,0,0,54.6,33.7,277.2,1005.6,49.9,16.0,420.2,36.2,6,,2025-01-04T07:13:41,2025-01-04T16:25:23,0.17,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,AV085,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
6,"Boston, MA, United States",2025-01-05,1.2,-5.6,-1.5,-4.1,-13.5,-7.7,-10.8,49.6,0.0,0,0.0,,0,0,51.9,36.7,283.6,1010.5,67.7,16.0,422.5,36.5,7,,2025-01-05T07:13:37,2025-01-05T16:26:21,0.21,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,AV085,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
7,"Boston, MA, United States",2025-01-06,-3.8,-7.8,-5.8,-8.7,-16.2,-12.7,-14.1,51.9,0.0,0,0.0,,0,0,46.4,31.1,297.0,1008.5,62.6,16.0,564.5,48.9,8,,2025-01-06T07:13:30,2025-01-06T16:27:21,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,AV085,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
