,datetime,description,icon
0,2024-12-16,Cloudy skies throughout the day.,cloudy
1,2024-12-17,Clearing in the afternoon with rain clearing later.,rain
2,2024-12-18,Partly cloudy throughout the day with late afternoon rain.,rain
3,2024-12-19,Becoming cloudy in the afternoon with early morning rain.,rain
4,2024-12-20,Cloudy skies throughout the day with rain or snow.,rain
5,2024-12-21,Partly cloudy throughout the day.,partly-cloudy-day
6,2024-12-22,Clear conditions throughout the day.,clear-day
7,2024-12-23,Becoming cloudy in the afternoon.,partly-cloudy-day
