,name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
0,"Boston, MA, United States",2025-01-13,3.9,-2.3,1.4,1.1,-6.3,-1.6,-5.8,59.3,0.0,0,0.0,rain,0.1,0.9,38.9,23.9,261.5,1012.6,75.1,16.0,455.4,39.3,7,10,2025-01-13T07:11:38,2025-01-13T16:34:56,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,AV085,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
1,"Boston, MA, United States",2025-01-14,0.7,-3.9,-1.3,-5.0,-11.4,-7.7,-11.1,47.9,0.0,0,0.0,,0.0,1.3,57.2,36.9,280.5,1010.2,28.4,16.0,413.1,35.9,6,10,2025-01-14T07:11:13,2025-01-14T16:36:06,0.52,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"KOWD,AV085,KBED,0518W,KBOS"
2,"Boston, MA, United States",2025-01-15,-1.1,-5.7,-3.7,-7.0,-13.7,-10.6,-13.1,48.9,0.0,0,0.0,,0.0,1.6,57.4,36.8,295.8,1014.6,29.6,16.0,590.6,50.9,6,10,2025-01-15T07:10:45,2025-01-15T16:37:16,0.56,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"KOWD,KBED,0518W,KBOS"
3,"Boston, MA, United States",2025-01-16,-0.5,-6.6,-3.4,-3.1,-11.6,-7.3,-10.6,58.0,0.0,14,0.0,snow,0.2,1.0,22.3,14.8,260.7,1014.1,40.7,14.8,89.6,7.8,4,10,2025-01-16T07:10:16,2025-01-16T16:38:27,0.59,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
4,"Boston, MA, United States",2025-01-17,1.2,-3.3,-1.2,-1.2,-6.5,-3.8,-7.9,60.9,0.1,9,4.17,snow,0.1,1.0,20.5,11.2,292.8,1015.0,32.6,15.9,120.0,10.6,4,10,2025-01-17T07:09:44,2025-01-17T16:39:40,0.62,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
5,"Boston, MA, United States",2025-01-18,6.7,-1.1,3.4,3.7,-4.5,-0.2,-0.8,74.2,8.7,74,8.33,"rain,snow",0.8,0.5,37.1,22.3,189.9,1013.5,76.8,17.0,53.0,4.7,2,10,2025-01-18T07:09:09,2025-01-18T16:40:53,0.65,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain or snow.,snow,
6,"Boston, MA, United States",2025-01-19,5.4,-0.9,3.2,3.2,-5.2,0.1,-1.9,70.4,0.9,74,12.5,"rain,snow",0.0,0.2,28.1,14.4,309.6,1010.5,60.3,24.1,108.4,9.3,3,10,2025-01-19T07:08:33,2025-01-19T16:42:06,0.69,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow.,rain,
7,"Boston, MA, United States",2025-01-20,-1.4,-7.8,-4.5,-6.0,-14.2,-10.4,-12.9,52.4,0.7,57,12.5,"rain,snow",0.2,0.2,35.6,20.2,296.9,1015.3,44.0,22.3,86.6,7.5,3,10,2025-01-20T07:07:54,2025-01-20T16:43:21,0.72,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow clearing later.,snow,
