,datetime,tempmin,temp,tempmax
0,2025-01-13,-2.3,1.4,3.9
1,2025-01-14,-3.9,-1.3,0.7
2,2025-01-15,-5.7,-3.7,-1.1
3,2025-01-16,-6.6,-3.4,-0.5
4,2025-01-17,-3.3,-1.2,1.2
5,2025-01-18,-1.1,3.4,6.7
6,2025-01-19,-0.9,3.2,5.4
7,2025-01-20,-7.8,-4.5,-1.4
